Iteration,Param1,Param2,Drag,Sideforce,Lift,Stdev Drag,Stdev Sideforce,Stdev Lift,Time
211,-0.96722,0.871489,490.977875,0.039309,-361.489139,11.413925,12.840954,69.786528,449151.4401
212,0.464871,0.483809,478.686027,17.006615,-311.191051,8.673383,15.443225,71.584042,451221.9681
213,-0.358268,-0.77045,478.894294,-35.077123,-349.307871,9.642005,13.40234,57.263749,453246.8888
214,0.064199,0.025099,484.258233,1.805837,-356.103163,9.90602,23.284538,75.41964,455165.8814
215,0.640604,-0.020597,478.462625,16.69774,-339.373335,8.035814,13.212193,73.37794,457194.7393
216,0.217481,0.931142,491.736084,30.713429,-348.12788,8.895755,13.518219,60.707092,459375.0155
217,-0.323933,0.021509,480.363975,-21.595155,-352.358331,8.10369,13.644093,57.778998,461810.193
218,-0.926901,-0.401844,476.10502,-20.185169,-354.468722,10.534172,14.47402,63.12509,464279.5761
219,-0.75111,-0.910248,475.498504,29.815323,-340.996224,8.720622,9.984551,61.821521,466762.444
220,0.82959,0.199975,478.695084,-1.01737,-349.172698,12.124385,6.431548,64.845497,469407.4911
221,0.693175,0.755647,488.095984,-17.88335,-338.829282,13.870217,14.20544,80.025695,472091.6426
222,0.50898,0.22177,484.240867,23.145216,-341.39422,9.405542,11.935169,69.770169,474319.2167
223,0.817965,0.227468,481.007871,13.439747,-312.857461,8.475784,25.703299,60.095554,476551.5188
224,-0.249678,-0.004853,481.118816,1.678278,-307.160849,11.127961,9.032184,67.138703,478649.9557
225,-0.631356,-0.664109,478.413092,15.408052,-353.241561,10.419283,9.045785,51.568629,480499.3407
226,0.764906,0.259051,476.950376,6.517432,-334.542771,9.633866,19.039829,74.587961,482353.2365
227,-0.057919,0.53412,482.90271,-12.814531,-325.154984,9.500159,7.060796,70.263218,484888.767
228,-0.328843,0.769292,482.367118,-9.402635,-327.287078,11.406839,6.072338,88.517989,487562.2161
229,0.169493,0.348101,482.615096,-8.778362,-356.474878,9.478821,21.801891,73.629625,489468.8414
230,-0.612879,-0.647771,472.013394,-20.110717,-357.969841,7.977038,19.161249,63.921705,491330.4077
231,0.642885,0.963275,488.93818,12.130471,-302.335594,11.235796,17.089,74.933262,493199.8857
232,-0.385797,-0.402778,477.810992,0.604299,-338.29021,10.194156,13.066101,80.034209,495059.5289
233,0.681465,0.02898,481.259192,11.32625,-336.446449,10.354417,9.937715,61.568452,496940.0506
234,0.434308,-0.519921,476.73812,-24.126777,-363.527427,10.816069,17.225669,86.359585,498815.4439
235,-0.875718,0.713702,481.187888,16.620014,-332.780627,8.359667,9.831313,62.459121,500772.3593
236,-0.388943,-0.22351,479.652784,15.198126,-372.665616,11.491547,12.516603,62.619231,502644.309
237,0.423693,0.3244,481.906188,21.414849,-343.768655,10.229819,11.66904,69.094284,504519.3336
238,-0.805254,-0.878439,465.480565,-25.254082,-335.818029,12.090584,8.409419,69.433984,506502.9802
239,-0.590624,0.704642,489.302188,-28.240155,-346.365769,10.601755,17.654971,76.226578,508426.9954
240,0.150614,-0.470413,479.435139,-14.991468,-315.549182,9.605428,13.769651,66.575545,510330.9206
241,-0.701724,-0.372986,475.523955,8.426917,-353.647167,11.727247,12.126329,75.481803,512208.3365
242,0.212978,0.179233,482.285165,14.599134,-378.047506,10.848816,12.269088,76.809028,514100.6479
243,-0.080275,-0.352692,478.506667,17.64525,-339.146696,6.576396,10.097453,62.660474,515983.2479
244,-0.751128,-0.889111,470.483367,1.466749,-341.5239,9.83551,15.722133,60.010217,517936.5915
245,0.559479,0.358835,483.975114,-12.669869,-344.408071,9.26239,14.65384,64.734785,519830.2472
246,-0.547613,0.342596,484.624739,-7.138935,-365.159484,12.118482,8.66392,74.154399,521716.2024
247,-0.065187,-0.864502,471.488198,30.611383,-336.638924,8.810285,23.93964,63.628999,523590.3339
248,-0.638693,-0.539181,480.573341,18.913497,-338.694033,8.689362,16.681521,73.503469,525468.0478
249,-0.069352,-0.366809,478.459549,-3.816744,-341.781916,10.823351,7.459962,90.56762,527783.096
250,0.510694,-0.557524,472.481265,13.593938,-333.92819,9.936651,10.36092,67.109909,530203.6011
251,0.03153,-0.580699,465.345669,-11.531944,-298.455818,9.475056,9.464211,69.468003,532221.0357
252,-0.033494,0.675794,483.761475,-2.933825,-325.072471,10.49403,14.460683,78.876815,534841.244
253,-0.691233,0.041036,475.402863,26.253755,-323.290006,10.03582,19.033411,67.722283,537007.5498
254,0.471125,0.05942,479.114853,1.156514,-325.620451,11.534448,13.619856,90.430359,539533.1964
255,0.080755,0.854263,484.987822,4.006129,-315.16178,9.981175,13.594439,70.724478,542158.7193
256,-0.827468,0.251833,478.478047,13.307019,-322.055335,9.440887,15.876698,71.554083,544716.6396
257,0.683691,-0.166223,486.096947,16.437225,-358.25832,8.002702,17.041845,71.248539,547013.0175
258,-0.643686,-0.70925,475.466398,-14.367355,-314.699059,6.526148,13.495931,67.789275,549082.8628
259,-0.151308,-0.399021,471.211467,-5.930493,-322.308029,12.277111,16.367064,81.492162,551069.904
260,-0.871489,0.102194,486.269853,-16.789952,-332.344943,9.413241,13.08177,74.101721,552990.2769
261,-0.089535,-0.100923,481.265651,-2.062755,-339.222841,9.149014,8.86659,63.31321,554836.1091
262,0.421047,-0.602175,477.169492,25.22257,-374.898029,8.256397,17.562672,62.787699,556706.0524
263,-0.490835,0.684884,486.041614,-7.351589,-327.54621,9.182871,14.399598,65.792314,558609.2876
264,-0.763546,0.298166,480.858088,11.16482,-340.501324,8.524266,15.151739,68.94085,560499.5623
265,-0.349787,0.387908,476.410671,0.461957,-348.392622,10.394586,16.111786,76.67565,562435.5302
266,-0.208957,-0.059837,478.532573,5.658478,-346.808271,8.879464,26.887469,62.773914,564296.2391
267,0.230368,0.681528,487.504996,6.716504,-329.299596,10.742782,9.568347,72.76323,566174.0413
268,0.299853,-0.537403,481.758559,24.260814,-377.407965,13.407471,6.892388,75.333663,568041.6718
269,-0.26424,0.976537,487.536616,-30.827882,-326.598865,8.29597,9.922937,64.814145,569920.8322
270,-0.926183,0.070383,477.500249,-25.915485,-332.013724,10.935409,13.136401,68.160169,571873.7007
271,-0.855493,0.078598,481.332204,-22.410765,-333.873476,12.458288,17.676389,71.247541,573789.7538
272,0.778718,0.853178,488.473053,22.109853,-332.654602,10.373364,9.30572,74.033658,575650.3588
273,0.344005,-0.587774,477.979737,-9.508372,-342.299463,11.757646,10.781867,76.038468,577591.9814
